Name,IP Ranges,DNS Searches,ICMP enabled (Optional),Allowed Ports & Protocols,Connector Zone,Tags (Optional)
Exchange Online,13.107.6.152/31;13.107.18.10/31;13.107.128.0/22;23.103.160.0/20;40.96.0.0/13;40.104.0.0/15;52.96.0.0/14;131.253.33.215/32;132.245.0.0/16;150.171.32.0/22;204.79.197.215/32;40.92.0.0/15;40.107.0.0/16;52.100.0.0/14;52.238.78.88/32;104.47.0.0/17,outlook.cloud.microsoft;outlook.office.com;outlook.office365.com;outlook.office365.com;smtp.office365.com;*.outlook.com;autodiscover.*.onmicrosoft.com;*.protection.outlook.com;*.mail.protection.outlook.com;*.mx.microsoft,True,80:tcp;443:tcp;443:udp;143:tcp; 587:tcp; 993:tcp; 995:tcp;25:tcp,Default Connector Zone,MS 365 All Apps
Skype for Business Online and Microsoft Teams,13.107.64.0/18;52.112.0.0/14;52.122.0.0/15;52.238.119.141/32;52.244.160.207/32,*.lync.com;*.teams.microsoft.com;teams.microsoft.com;*.keydelivery.mediaservices.windows.net;*.streaming.mediaservices.windows.net;mlccdn.blob.core.windows.net;aka.ms;*.users.storage.live.com;adl.windows.com;*.secure.skypeassets.com;mlccdnprod.azureedge.net;*.skype.com;compass-ssl.microsoft.com,True,3478:udp;3478:tcp;3479:udp;3479:tcp;3480:udp;3480:tcp;3481:udp;3481:tcp;80:tcp;443:tcp,Default Connector Zone,MS 365 All Apps
SharePoint Online and OneDrive for Business,13.107.136.0/22;40.108.128.0/17;52.104.0.0/14;104.146.128.0/17;150.171.40.0/22,*.sharepoint.com;ssw.live.com;storage.live.com;*.search.production.apac.trafficmanager.net;*.search.production.emea.trafficmanager.net;*.search.production.us.trafficmanager.net;*.wns.windows.com;admin.onedrive.com;officeclient.microsoft.com;g.live.com;oneclient.sfx.ms;*.sharepointonline.com;spoprod-a.akamaihd.net;*.svc.ms,True,80:tcp;443:tcp,Default Connector Zone,MS 365 All Apps
Microsoft 365 Common and Office Online,13.107.6.171/32;13.107.18.15/32;13.107.140.6/32;52.108.0.0/14;52.244.37.168/32;20.20.32.0/19;20.190.128.0/18;20.231.128.0/19;40.126.0.0/18;13.107.6.192/32;13.107.9.192/32,*.microsoftstream.com;nps.onyx.azure.net;*.azureedge.net;*.media.azure.net;*.streaming.mediaservices.windows.net;*.keydelivery.mediaservices.windows.net;*.officeapps.live.com;*.online.office.com;office.live.com;*.office.net;*.onenote.com;*.microsoft.com;*cdn.onenote.net;ajax.aspnetcdn.com;apis.live.net;officeapps.live.com;www.onedrive.com;*.auth.microsoft.com;*.msftidentity.com;*.msidentity.com;account.activedirectory.windowsazure.com;accounts.accesscontrol.windows.net;adminwebservice.microsoftonline.com;api.passwordreset.microsoftonline.com;autologon.microsoftazuread-sso.com;becws.microsoftonline.com;ccs.login.microsoftonline.com;clientconfig.microsoftonline-p.net;companymanager.microsoftonline.com;device.login.microsoftonline.com;graph.microsoft.com;graph.windows.net;login-us.microsoftonline.com;login.microsoft.com;login.microsoftonline-p.com;login.microsoftonline.com;login.windows.net;logincert.microsoftonline.com;loginex.microsoftonline.com;nexus.microsoftonline-p.com;passwordreset.microsoftonline.com;provisioningapi.microsoftonline.com;*.hip.live.com;*.microsoftonline-p.com;*.microsoftonline.com;*.msauth.net;*.msauthimages.net;*.msecnd.net;*.msftauth.net;*.msftauthimages.net;*.phonefactor.net;enterpriseregistration.windows.net;policykeyservice.dc.ad.msft.net;*.compliance.microsoft.com;*.protection.office.com;*.security.microsoft.com;compliance.microsoft.com;defender.microsoft.com;protection.office.com;security.microsoft.com;*.portal.cloudappsecurity.com;*.blob.core.windows.net;firstpartyapps.oaspapps.com;prod.firstpartyapps.oaspapps.com.akadns.net;telemetryservice.firstpartyapps.oaspapps.com;wus-firstpartyapps.oaspapps.com;*.aria.microsoft.com;*.events.data.microsoft.com;*.o365weve.com;amp.azure.net;appsforoffice.microsoft.com;assets.onestore.ms;auth.gfx.ms;c1.microsoft.com;dgps.support.microsoft.com;docs.microsoft.com;msdn.microsoft.com;platform.linkedin.com;prod.msocdn.com;shellprod.msocdn.com;support.microsoft.com;technet.microsoft.com;*.office365.com;*.aadrm.com;*.azurerms.com;*.informationprotection.azure.com;ecn.dev.virtualearth.net;informationprotection.hosting.portal.azure.net;*.sharepointonline.com;dc.services.visualstudio.com;mem.gfx.ms;staffhub.ms;*.microsoft.com;*.msocdn.com;*.onmicrosoft.com;o15.officeredir.microsoft.com;officepreviewredir.microsoft.com;officeredir.microsoft.com;r.office.microsoft.com;activation.sls.microsoft.com;crl.microsoft.com;office15client.microsoft.com;officeclient.microsoft.com;go.microsoft.com;ajax.aspnetcdn.com;cdn.odc.officeapps.live.com;officecdn.microsoft.com;officecdn.microsoft.com.edgesuite.net;otelrules.azureedge.net;*.virtualearth.net;c.bing.net;ocos-office365-s2s.msedge.net;tse1.mm.bing.net;www.bing.com;*.acompli.net;*.outlookmobile.com;login.windows-ppe.net;account.live.com;login.live.com;www.acompli.com;*.appex-rf.msn.com;*.appex.bing.com;c.bing.com;c.live.com;d.docs.live.net;docs.live.net;partnerservices.getmicrosoftkey.com;signup.live.com;account.live.com;auth.gfx.ms;login.live.com;*.yammer.com;*.yammerusercontent.com;*.assets-yammer.com;www.outlook.com;eus-www.sway-cdn.com;eus-www.sway-extensions.com;wus-www.sway-cdn.com;wus-www.sway-extensions.com;sway.com;www.sway.com;*.entrust.net;*.geotrust.com;*.omniroot.com;*.public-trust.com;*.symcb.com;*.symcd.com;*.verisign.com;*.verisign.net;apps.identrust.com;cacerts.digicert.com;cert.int-x3.letsencrypt.org;crl.globalsign.com;crl.globalsign.net;crl.identrust.com;crl3.digicert.com;crl4.digicert.com;isrg.trustid.ocsp.identrust.com;mscrl.microsoft.com;ocsp.digicert.com;ocsp.globalsign.com;ocsp.msocsp.com;ocsp2.globalsign.com;ocspx.digicert.com;secure.globalsign.com;www.digicert.com;www.microsoft.com;officespeech.platform.bing.com;*.office.com;www.microsoft365.com;*.microsoftusercontent.com;*.azure-apim.net;*.flow.microsoft.com;*.powerapps.com;*.powerautomate.com;*.activity.windows.com;activity.windows.com;*.cortana.ai;admin.microsoft.com;cdn.odc.officeapps.live.com;cdn.uci.officeapps.live.com;*.cloud.microsoft;*.static.microsoft;*.usercontent.microsoft,True,443:tcp;80:tcp,Default Connector Zone,MS 365 All Apps
